length,radius,theta,height,surface,spin,result

6.0,0.7,0.52,170.0,0.2,0,0
6.0,0.7,0.52,170.0,0.2,0,0
6.0,0.7,0.52,170.0,0.2,0,0
6.0,0.7,0.52,170.0,0.2,0,1
6.0,0.7,0.52,170.0,0.2,0,1
6.0,0.7,0.52,170.0,0.2,0,0
6.0,0.7,0.52,170.0,0.2,0,1
6.0,0.7,0.52,170.0,0.2,0,0
6.0,0.7,0.52,170.0,0.2,1,0
6.0,0.7,0.52,170.0,0.2,1,1
6.0,0.7,0.52,170.0,0.2,1,1
6.0,0.7,0.52,170.0,0.2,1,1
6.0,0.7,0.52,170.0,0.2,1,1
6.0,0.7,0.52,170.0,0.2,1,0
6.0,0.7,0.52,170.0,0.2,1,0
6.0,0.7,0.52,170.0,0.2,1,1

6.0,0.7,0.52,130.0,0.2,1,0
6.0,0.7,0.52,130.0,0.2,1,1
6.0,0.7,0.52,130.0,0.2,1,1
6.0,0.7,0.52,130.0,0.2,1,0
6.0,0.7,0.52,130.0,0.2,0,0
6.0,0.7,0.52,130.0,0.2,0,1
6.0,0.7,0.52,130.0,0.2,0,0
6.0,0.7,0.52,130.0,0.2,0,0
6.0,0.7,0.52,130.0,0.2,0,0
6.0,0.7,0.52,130.0,0.2,0,0

6.0,0.7,0.52,130.0,0.5,0,0
6.0,0.7,0.52,130.0,0.5,0,0
6.0,0.7,0.52,130.0,0.5,0,1
6.0,0.7,0.52,130.0,0.5,0,1
6.0,0.7,0.52,130.0,0.5,0,0
6.0,0.7,0.52,130.0,0.5,0,1
6.0,0.7,0.52,130.0,0.5,0,0
6.0,0.7,0.52,130.0,0.5,1,1
6.0,0.7,0.52,130.0,0.5,1,1
6.0,0.7,0.52,130.0,0.5,1,0
6.0,0.7,0.52,130.0,0.5,1,0
6.0,0.7,0.52,130.0,0.5,1,0
6.0,0.7,0.52,130.0,0.5,1,0
6.0,0.7,0.52,130.0,0.5,1,1
6.0,0.7,0.52,130.0,0.5,1,1

6.0,0.7,0.52,160.0,0.5,0,1
6.0,0.7,0.52,160.0,0.5,0,0
6.0,0.7,0.52,160.0,0.5,0,0
6.0,0.7,0.52,160.0,0.5,0,0
6.0,0.7,0.52,160.0,0.5,0,0
6.0,0.7,0.52,160.0,0.5,1,1
6.0,0.7,0.52,160.0,0.5,1,1
