length,radius,theta,height,surface,spin,result
5,1.3,0.49,130,0.2,0,1
5,1.3,0.49,130,0.2,0,1
5,1.3,0.49,130,0.2,0,0
5,1.3,0.49,130,0.2,0,1
5,1.3,0.49,130,0.2,0,0
5,1.3,0.49,130,0.2,0,1
5,1.3,0.49,130,0.2,0,1
5,1.3,0.49,130,0.2,0,0
5,1.3,0.49,130,0.2,0,1
5,1.3,0.49,130,0.2,0,0
5,1.3,0.49,130,0.2,1,1
5,1.3,0.49,130,0.2,1,0
5,1.3,0.49,130,0.2,1,0
5,1.3,0.49,130,0.2,1,1
5,1.3,0.49,130,0.2,1,0
5,1.3,0.49,130,0.2,1,1
5,1.3,0.49,130,0.2,1,0


5,1.3,0.49,170,0.2,0,0
5,1.3,0.49,170,0.2,0,1
5,1.3,0.49,170,0.2,0,1
5,1.3,0.49,170,0.2,0,1
5,1.3,0.49,170,0.2,0,0
5,1.3,0.49,170,0.2,0,0
5,1.3,0.49,170,0.2,0,0
5,1.3,0.49,170,0.2,0,0
5,1.3,0.49,170,0.2,0,0
5,1.3,0.49,170,0.2,1,0
5,1.3,0.49,170,0.2,1,0
5,1.3,0.49,170,0.2,1,1
5,1.3,0.49,170,0.2,1,0
5,1.3,0.49,170,0.2,1,1
5,1.3,0.49,170,0.2,1,1
5,1.3,0.49,170,0.2,1,1
5,1.3,0.49,170,0.2,1,0
5,1.3,0.49,170,0.2,1,0

5,1.3,0.69,170,0.2,1,0
5,1.3,0.69,170,0.2,1,1
5,1.3,0.69,170,0.2,1,0
5,1.3,0.69,170,0.2,1,1
5,1.3,0.69,170,0.2,1,0
5,1.3,0.69,170,0.2,1,0
5,1.3,0.69,170,0.2,1,1

5,1.3,0.69,170,0.2,0,0
5,1.3,0.69,170,0.2,0,0
5,1.3,0.69,170,0.2,0,0
5,1.3,0.69,170,0.2,0,0
5,1.3,0.69,170,0.2,0,1
5,1.3,0.69,170,0.2,0,1
5,1.3,0.69,170,0.2,0,0
5,1.3,0.69,170,0.2,0,1

5,1.3,0.69,130,0.2,0,0
5,1.3,0.69,130,0.2,0,1
5,1.3,0.69,130,0.2,0,1
5,1.3,0.69,130,0.2,0,1
5,1.3,0.69,130,0.2,0,0
5,1.3,0.69,130,0.2,0,0
5,1.3,0.69,130,0.2,0,0
5,1.3,0.69,130,0.2,0,1
5,1.3,0.69,130,0.2,0,0
5,1.3,0.69,130,0.2,0,1

5,1.3,0.69,130,0.2,1,0
5,1.3,0.69,130,0.2,1,0
5,1.3,0.69,130,0.2,1,1
5,1.3,0.69,130,0.2,1,1
5,1.3,0.69,130,0.2,1,0
5,1.3,0.69,130,0.2,1,0
5,1.3,0.69,130,0.2,1,1
5,1.3,0.69,130,0.2,1,0
