length,radius,theta,height,surface,spin,result
12,1,0.64,120,0.5,0,1
12,1,0.64,120,0.5,0,1
12,1,0.64,120,0.5,0,0
12,1,0.64,120,0.5,0,0
12,1,0.64,120,0.5,0,0
12,1,0.64,120,0.5,0,0
12,1,0.64,120,0.5,0,0
12,1,0.64,120,0.5,0,0
12,1,0.64,120,0.5,0,1
12,1,0.64,120,0.5,0,1
12,1,0.64,120,0.5,0,0
12,1,0.64,120,0.5,1,1
12,1,0.64,120,0.5,1,1
12,1,0.64,120,0.5,1,1
12,1,0.64,120,0.5,1,0
12,1,0.64,120,0.5,1,0
12,1,0.64,120,0.5,1,1
12,1,0.64,120,0.5,1,0
12,1,0.64,120,0.5,1,1

12,1,0.64,160,0.5,0,1
12,1,0.64,160,0.5,0,1
12,1,0.64,160,0.5,0,0
12,1,0.64,160,0.5,0,0
12,1,0.64,160,0.5,0,1
12,1,0.64,160,0.5,0,1
12,1,0.64,160,0.5,0,0
12,1,0.64,160,0.5,0,0
12,1,0.64,160,0.5,0,1
12,1,0.64,160,0.5,0,0
12,1,0.64,160,0.5,1,0
12,1,0.64,160,0.5,1,1
12,1,0.64,160,0.5,1,1
12,1,0.64,160,0.5,1,0
12,1,0.64,160,0.5,1,1
12,1,0.64,160,0.5,1,0
12,1,0.64,160,0.5,1,1
12,1,0.64,160,0.5,1,1
12,1,0.64,160,0.5,1,0
12,1,0.64,160,0.5,1,0
12,1,0.64,160,0.5,1,1

12,1,0.86,140,0.1,0,0
12,1,0.86,140,0.1,0,0
12,1,0.86,140,0.1,0,1
12,1,0.86,140,0.1,0,0
12,1,0.86,140,0.1,0,1
12,1,0.86,140,0.1,0,1
12,1,0.86,140,0.1,0,1
12,1,0.86,140,0.1,0,0
12,1,0.86,140,0.1,0,1
12,1,0.86,140,0.1,0,0
12,1,0.86,140,0.1,0,0
12,1,0.86,140,0.1,0,1
12,1,0.86,140,0.1,0,1
12,1,0.86,140,0.1,1,0
12,1,0.86,140,0.1,1,0
12,1,0.86,140,0.1,1,0
12,1,0.86,140,0.1,1,0
12,1,0.86,140,0.1,1,0
12,1,0.86,140,0.1,1,1
12,1,0.86,140,0.1,1,0
12,1,0.86,140,0.1,1,0
12,1,0.86,140,0.1,1,1
12,1,0.86,140,0.1,1,1
12,1,0.86,140,0.1,1,1
12,1,0.86,140,0.1,1,0
12,1,0.86,140,0.1,1,1
12,1,0.86,140,0.1,1,0
12,1,0.86,140,0.1,1,1
